t,S,I,R
1199,259890,2,0
1200,259890,2,0
1201,259890,2,0
1202,259890,2,0
1203,259890,2,0
1204,259890,2,0
1205,259890,2,0
1206,259890,2,0
1207,259890,2,0
1208,259890,2,0
1209,259890,2,0
1210,259890,2,0
1211,259890,2,0
1212,259890,2,0
1213,259890,2,0
1214,259890,2,0
1215,259890,2,0
1216,259890,2,0
1217,259890,2,0
1218,259890,2,0
1219,259890,2,0
1220,259890,2,0
1221,259890,2,0
1222,259890,2,0
1223,259890,2,0
1224,259890,2,0
1225,259890,2,0
1226,259890,2,0
1227,259890,2,0
1228,259890,2,0
1229,259890,2,0
1230,259890,2,0
1231,259890,2,0
1232,259890,2,0
1233,259890,2,0
1234,259890,2,0
1235,259890,2,0
1236,259890,2,0
1237,259890,2,0
1238,259890,2,0
1239,259890,2,0
1240,259890,2,0
1241,259890,2,0
1242,259890,2,0
1243,259890,2,0
1244,259890,2,0
1245,259890,2,0
1246,259890,2,0
1247,259890,2,0
1248,259890,2,0
1249,259890,2,0
1250,259890,2,0
1251,259890,2,0
1252,259890,2,0
1253,259890,2,0
1254,259890,2,0
1255,259890,2,0
1256,259890,2,0
1257,259890,2,0
1258,259890,2,0
1259,259890,2,0
1260,259890,2,0
1261,259890,2,0
1262,259890,2,0
1263,259890,2,0
1264,259890,2,0
1265,259890,2,0
1266,259890,2,0
1267,259890,2,0
1268,259890,2,0
1269,259890,2,0
1270,259890,2,0
1271,259890,2,0
1272,259890,2,0
1273,259890,2,0
1274,259890,2,0
1275,259890,2,0
1276,259890,2,0
1277,259890,2,0
1278,259890,2,0
1279,259890,2,0
1280,259890,2,0
1281,259890,2,0
1282,259890,2,0
1283,259890,2,0
1284,259890,2,0
1285,259890,2,0
1286,259890,2,0
1287,259890,2,0
1288,259890,2,0
1289,259890,2,0
1290,259890,2,0
1291,259890,2,0
1292,259890,2,0
1293,259890,2,0
1294,259890,2,0
1295,259890,2,0
1296,259890,2,0
1297,259890,2,0
1298,259890,2,0
1299,259890,2,0
1300,259890,2,0
1301,259890,2,0
1302,259890,2,0
1303,259890,2,0
1304,259890,2,0
1305,259890,2,0
1306,259890,2,0
1307,259890,2,0
1308,259890,2,0
1309,259890,2,0
1310,259890,2,0
1311,259890,2,0
1312,259890,2,0
1313,259890,2,0
1314,259890,2,0
1315,259890,2,0
1316,259890,2,0
1317,259890,2,0
1318,259890,2,0
1319,259890,2,0
1320,259890,2,0
1321,259890,2,0
1322,259890,2,0
1323,259890,2,0
1324,259890,2,0
1325,259890,2,0
1326,259890,2,0
1327,259890,2,0
1328,259890,2,0
1329,259890,2,0
1330,259890,2,0
1331,259890,2,0
1332,259890,2,0
1333,259890,2,0
1334,259890,2,0
1335,259890,2,0
1336,259890,2,0
1337,259890,2,0
1338,259890,2,0
1339,259890,2,0
1340,259890,2,0
1341,259890,2,0
1342,259890,2,0
1343,259890,2,0
1344,259890,2,0
1345,259890,2,0
1346,259890,2,0
1347,259890,2,0
1348,259890,2,0
1349,259890,2,0
1350,259890,2,0
1351,259890,2,0
1352,259890,2,0
1353,259890,2,0
1354,259890,2,0
1355,259890,2,0
1356,259890,2,0
1357,259890,2,0
1358,259890,2,0
1359,259890,2,0
1360,259890,2,0
1361,259890,2,0
1362,259890,2,0
1363,259890,2,0
1364,259890,2,0
1365,259890,2,0
1366,259890,2,0
1367,259890,2,0
1368,259890,2,0
1369,259890,2,0
1370,259890,2,0
1371,259890,2,0
1372,259890,2,0
1373,259890,2,0
1374,259890,2,0
1375,259890,2,0
1376,259890,2,0
1377,259890,2,0
1378,259890,2,0
1379,259890,2,0
1380,259890,2,0
1381,259890,2,0
1382,259890,2,0
1383,259890,2,0
1384,259890,2,0
1385,259890,2,0
1386,259890,2,0
1387,259890,2,0
1388,259890,2,0
1389,259890,2,0
1390,259890,2,0
1391,259890,2,0
1392,259890,2,0
1393,259890,2,0
1394,259890,2,0
1395,259890,2,0
1396,259890,2,0
1397,259890,2,0
1398,259890,2,0
1399,259890,2,0
1400,259890,2,0
1401,259890,2,0
1402,259890,2,0
1403,259890,2,0
1404,259890,2,0
1405,259890,2,0
1406,259890,2,0
1407,259890,2,0
1408,259890,2,0
1409,259890,2,0
1410,259890,2,0
1411,259890,2,0
1412,259890,2,0
1413,259890,2,0
1414,259890,2,0
1415,259890,2,0
1416,259890,2,0
1417,259890,2,0
1418,259890,2,0
1419,259890,2,0
1420,259890,2,0
1421,259890,2,0
1422,259890,2,0
1423,259890,2,0
1424,259890,2,0
1425,259890,2,0
1426,259890,2,0
1427,259890,2,0
1428,259890,2,0
1429,259890,2,0
1430,259890,2,0
1431,259890,2,0
1432,259890,2,0
1433,259890,2,0
1434,259890,2,0
1435,259890,2,0
1436,259890,2,0
1437,259890,2,0
1438,259890,2,0
1439,259890,2,0
1440,259890,2,0
1441,259890,2,0
1442,259890,2,0
1443,259890,2,0
1444,259890,2,0
1445,259890,2,0
1446,259890,2,0
1447,259890,2,0
1448,259890,2,0
1449,259890,2,0
1450,259890,2,0
1451,259890,2,0
1452,259890,2,0
1453,259890,2,0
1454,259890,2,0
1455,259890,2,0
1456,259890,2,0
1457,259890,2,0
1458,259890,2,0
1459,259890,2,0
1460,259890,2,0
1461,259890,2,0
1462,259890,2,0
1463,259890,2,0
1464,259890,2,0
1465,259890,2,0
1466,259890,2,0
1467,259890,2,0
1468,259890,2,0
1469,259890,2,0
1470,259890,2,0
1471,259890,2,0
1472,259890,2,0
1473,259890,2,0
1474,259890,2,0
1475,259890,2,0
1476,259890,2,0
1477,259890,2,0
1478,259890,2,0
1479,259890,2,0
1480,259890,2,0
1481,259890,2,0
1482,259890,2,0
1483,259890,2,0
1484,259890,2,0
1485,259890,2,0
1486,259890,2,0
1487,259890,2,0
1488,259890,2,0
1489,259890,2,0
1490,259890,2,0
1491,259890,2,0
1492,259890,2,0
1493,259890,2,0
1494,259890,2,0
